"","sub_pid","client_property_id","account","actions_de","actions_en","costs","sqm","rental_units","year_construction","year_last_renovation","roof","windows","face_of_building","heating","main_type_of_use","vacancy_rate"
"48","101_00","3153","5280","Malerarbeiten","painting and decorating",738,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"49","101_00","3153","5290","Fußbodenarbeiten","floor",369.5,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"50","101_00","3153","5300","Fenster / Glaserarbeiten","windows",1387.9,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"51","101_00","3153","5310","Elektroarbeiten","electrics",2387.7,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"52","101_00","3153","5340","Außenanlagen","outdoor facilities",2255.55,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"53","101_00","3153","5350","Klingeln","doorbells",546.55,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"54","101_00","3153","5360","Heizkörper / WMZ","heating elements",1364.57,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"55","101_00","3153","5370","Notöffnungen","emergency exit",123.8,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"56","101_00","3153","5380","Sonstiges","other",115.75,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"57","101_00","3153","5390","Sperrmüll-Inst.","bulky waste",408,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"58","101_00","3153","5400","Lüftungsanlagen","ventilation plants",175.38,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"59","101_00","3153","5410","Heizungsanlagen","heating system",152.75,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"60","101_00","3153","5420","Schädlingsbekämpfg.-Inst.","crop spraying",80.73,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"61","101_00","3153","5440","Kabel-TV","cable tv",58.59,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"62","101_00","3153","5450","Dachdecker","slater",8813.14,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"63","101_00","3153","5460","nicht umlegb. Reinigung","cleaning",120,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"64","101_00","3153","5500","Capex Aussen (Mod.ausserh.d.Wohnung)","modernization outside",4094.7,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"65","101_00","3153","5600","Nicht umlegb. HM-Kosten","not addable costs",4998.29,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"66","101_00","3155","5200","Instandhaltungskosten","maintenance",21.8,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"67","101_00","3155","5201","Strom / Gas Leerstand","power/gas (vacancy)",22238.94,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"68","101_00","3155","5202","IH Gasgeräte","gas installations",2713.76,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"69","101_00","3155","5205","Eigenleistungen Mieter","in-house effort tenant",14.49,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"70","101_00","3155","5210","Schlosserarbeiten","locksmith",1236,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"71","101_00","3155","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",1970.92,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"72","101_00","3155","5250","Sanitärinstallation","sanitary installation",8650.64,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"73","101_00","3155","5251","Reparatur Gasversorgung","repair gas supply",1723.03,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"74","101_00","3155","5260","Zargen / Türen","doors",2826,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"75","101_00","3155","5270","Schlösser / Schlüssel","locks/keys",2094.65,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"76","101_00","3155","5280","Malerarbeiten","painting and decorating",2059.8,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"77","101_00","3155","5300","Fenster / Glaserarbeiten","windows",1661.12,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"78","101_00","3155","5310","Elektroarbeiten","electrics",2100.84,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"79","101_00","3155","5340","Außenanlagen","outdoor facilities",1244.3,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"80","101_00","3155","5350","Klingeln","doorbells",347.71,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"81","101_00","3155","5360","Heizkörper / WMZ","heating elements",2777.87,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"82","101_00","3155","5370","Notöffnungen","emergency exit",412.85,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"83","101_00","3155","5390","Sperrmüll-Inst.","bulky waste",1647.55,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"84","101_00","3155","5400","Lüftungsanlagen","ventilation plants",250.6,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"85","101_00","3155","5410","Heizungsanlagen","heating system",836.39,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"86","101_00","3155","5450","Dachdecker","slater",620.02,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"87","101_00","3155","5460","nicht umlegb. Reinigung","cleaning",70,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"88","101_00","3155","5600","Nicht umlegb. HM-Kosten","not addable costs",7356.09,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"89","101_00","3156","5200","Instandhaltungskosten","maintenance",350,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"90","101_00","3156","5201","Strom / Gas Leerstand","power/gas (vacancy)",6263.54,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"91","101_00","3156","5210","Schlosserarbeiten","locksmith",408,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"92","101_00","3156","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",1790.85,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"93","101_00","3156","5230","Fassaden","face of a building",813,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"94","101_00","3156","5250","Sanitärinstallation","sanitary installation",8459.03,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"95","101_00","3156","5260","Zargen / Türen","doors",2627.46,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"96","101_00","3156","5270","Schlösser / Schlüssel","locks/keys",579,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"97","101_00","3156","5280","Malerarbeiten","painting and decorating",1939.5,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"98","101_00","3156","5290","Fußbodenarbeiten","floor",738.4,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"99","101_00","3156","5300","Fenster / Glaserarbeiten","windows",1478.33,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"100","101_00","3156","5310","Elektroarbeiten","electrics",2362.54,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"101","101_00","3156","5340","Außenanlagen","outdoor facilities",1819.05,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"102","101_00","3156","5350","Klingeln","doorbells",280,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"103","101_00","3156","5360","Heizkörper / WMZ","heating elements",4560.5,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"104","101_00","3156","5370","Notöffnungen","emergency exit",81.5,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"105","101_00","3156","5390","Sperrmüll-Inst.","bulky waste",420,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"106","101_00","3156","5410","Heizungsanlagen","heating system",522.06,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"107","101_00","3156","5460","nicht umlegb. Reinigung","cleaning",60,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"108","101_00","3156","5600","Nicht umlegb. HM-Kosten","not addable costs",6211.47,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"109","101_00","3157","5200","Instandhaltungskosten","maintenance",285.65,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"110","101_00","3157","5201","Strom / Gas Leerstand","power/gas (vacancy)",15346.12,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"111","101_00","3157","5202","IH Gasgeräte","gas installations",2486.31,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"112","101_00","3157","5205","Eigenleistungen Mieter","in-house effort tenant",85.56,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"113","101_00","3157","5210","Schlosserarbeiten","locksmith",1106.25,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"114","101_00","3157","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",5916.44,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"115","101_00","3157","5230","Fassaden","face of a building",335.13,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"116","101_00","3157","5240","Zimmererarb./Holzschutz","carpenter work",255,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"117","101_00","3157","5250","Sanitärinstallation","sanitary installation",6662.35,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"118","101_00","3157","5251","Reparatur Gasversorgung","repair gas supply",894.88,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"119","101_00","3157","5260","Zargen / Türen","doors",3873.9,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"120","101_00","3157","5270","Schlösser / Schlüssel","locks/keys",3639.87,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"121","101_00","3157","5280","Malerarbeiten","painting and decorating",2598.87,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"122","101_00","3157","5290","Fußbodenarbeiten","floor",404.99,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"123","101_00","3157","5300","Fenster / Glaserarbeiten","windows",707.45,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"124","101_00","3157","5310","Elektroarbeiten","electrics",5366.05,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"125","101_00","3157","5340","Außenanlagen","outdoor facilities",3122.17,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"126","101_00","3157","5350","Klingeln","doorbells",519.63,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"127","101_00","3157","5360","Heizkörper / WMZ","heating elements",2815.48,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"128","101_00","3157","5390","Sperrmüll-Inst.","bulky waste",140,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"129","101_00","3157","5400","Lüftungsanlagen","ventilation plants",53.36,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"130","101_00","3157","5410","Heizungsanlagen","heating system",433.88,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"131","101_00","3157","5420","Schädlingsbekämpfg.-Inst.","crop spraying",107.16,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"132","101_00","3157","5450","Dachdecker","slater",2373.67,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"133","101_00","3157","5460","nicht umlegb. Reinigung","cleaning",2822,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"134","101_00","3157","5600","Nicht umlegb. HM-Kosten","not addable costs",7233.61,18882,396,1978,1992,"flat","pvc","finery","district heating","residential",51
"136","11_00","3021","5100","Aufwand  Haushandwerker","builders work",8.58,556,10,1900,NA,"hipped end roof","pvc","finery","gas central","residential",24
"137","11_00","3021","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",755,556,10,1900,NA,"hipped end roof","pvc","finery","gas central","residential",24
"138","11_00","3021","5250","Sanitärinstallation","sanitary installation",211.29,556,10,1900,NA,"hipped end roof","pvc","finery","gas central","residential",24
"139","11_00","3021","5260","Zargen / Türen","doors",211.3,556,10,1900,NA,"hipped end roof","pvc","finery","gas central","residential",24
"140","11_00","3021","5300","Fenster / Glaserarbeiten","windows",39,556,10,1900,NA,"hipped end roof","pvc","finery","gas central","residential",24
"141","11_00","3021","5310","Elektroarbeiten","electrics",127.86,556,10,1900,NA,"hipped end roof","pvc","finery","gas central","residential",24
"142","11_00","3021","5420","Schädlingsbekämpfg.-Inst.","crop spraying",550,556,10,1900,NA,"hipped end roof","pvc","finery","gas central","residential",24
"143","11_00","3021","5600","Nicht umlegb. HM-Kosten","not addable costs",15,556,10,1900,NA,"hipped end roof","pvc","finery","gas central","residential",24
"144","11_00","3021","5700","Capex Innen (Mod.innerh.d.Wohnung)","modernization apartment",6563.67,556,10,1900,NA,"hipped end roof","pvc","finery","gas central","residential",24
"146","12_00","3210","5200","Instandhaltungskosten","maintenance",366.9,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"147","12_00","3210","5201","Strom / Gas Leerstand","power/gas (vacancy)",6840.4,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"148","12_00","3210","5205","Eigenleistungen Mieter","in-house effort tenant",49.1,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"149","12_00","3210","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",150.7,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"150","12_00","3210","5250","Sanitärinstallation","sanitary installation",1438.42,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"151","12_00","3210","5260","Zargen / Türen","doors",15,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"152","12_00","3210","5270","Schlösser / Schlüssel","locks/keys",44.36,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"153","12_00","3210","5280","Malerarbeiten","painting and decorating",660.87,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"154","12_00","3210","5290","Fußbodenarbeiten","floor",289.03,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"155","12_00","3210","5300","Fenster / Glaserarbeiten","windows",11.5,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"156","12_00","3210","5310","Elektroarbeiten","electrics",387.93,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"157","12_00","3210","5350","Klingeln","doorbells",37,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"158","12_00","3210","5360","Heizkörper / WMZ","heating elements",127.24,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"159","12_00","3210","5390","Sperrmüll-Inst.","bulky waste",129,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"160","12_00","3210","5700","Capex Innen (Mod.innerh.d.Wohnung)","modernization apartment",1548.78,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"162","12_00","3211","5201","Strom / Gas Leerstand","power/gas (vacancy)",1557.55,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"163","12_00","3211","5250","Sanitärinstallation","sanitary installation",907.93,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"164","12_00","3211","5270","Schlösser / Schlüssel","locks/keys",78.67,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"165","12_00","3211","5280","Malerarbeiten","painting and decorating",764,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"166","12_00","3211","5290","Fußbodenarbeiten","floor",1996.82,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"167","12_00","3211","5310","Elektroarbeiten","electrics",240.81,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"168","12_00","3211","5460","nicht umlegb. Reinigung","cleaning",343.89,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"169","12_00","3211","5700","Capex Innen (Mod.innerh.d.Wohnung)","modernization apartment",1271.67,2031,37,1968,1994,"double pitch roof","pvc","finery","other","residential",26
"171","13_00","3214","5201","Strom / Gas Leerstand","power/gas (vacancy)",435.04,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"172","13_00","3214","5205","Eigenleistungen Mieter","in-house effort tenant",5.99,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"173","13_00","3214","5250","Sanitärinstallation","sanitary installation",31.48,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"174","13_00","3214","5260","Zargen / Türen","doors",25.3,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"176","13_00","3215","5201","Strom / Gas Leerstand","power/gas (vacancy)",1773.72,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"177","13_00","3215","5250","Sanitärinstallation","sanitary installation",1441.32,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"178","13_00","3215","5260","Zargen / Türen","doors",915.07,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"179","13_00","3215","5270","Schlösser / Schlüssel","locks/keys",101.7,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"180","13_00","3215","5280","Malerarbeiten","painting and decorating",929.93,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"181","13_00","3215","5300","Fenster / Glaserarbeiten","windows",107.01,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"182","13_00","3215","5310","Elektroarbeiten","electrics",154.75,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"183","13_00","3215","5360","Heizkörper / WMZ","heating elements",635.45,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"184","13_00","3215","5410","Heizungsanlagen","heating system",9689.76,2074,30,1968,1994,"double pitch roof","pvc","finery","other","residential",14
"185","134_00","3019","5100","Aufwand  Haushandwerker","builders work",2373.2,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"186","134_00","3019","5200","Instandhaltungskosten","maintenance",280.05,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"187","134_00","3019","5201","Strom / Gas Leerstand","power/gas (vacancy)",4.07,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"188","134_00","3019","5205","Eigenleistungen Mieter","in-house effort tenant",490,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"189","134_00","3019","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",1490.36,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"190","134_00","3019","5230","Fassaden","face of a building",339.83,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"191","134_00","3019","5235","Rolladen","shutters",827.3,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"192","134_00","3019","5250","Sanitärinstallation","sanitary installation",11938.64,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"193","134_00","3019","5255","Betonarbeiten","concrete work",180,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"194","134_00","3019","5260","Zargen / Türen","doors",1756.7,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"195","134_00","3019","5270","Schlösser / Schlüssel","locks/keys",493.82,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"196","134_00","3019","5280","Malerarbeiten","painting and decorating",887.8,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"197","134_00","3019","5290","Fußbodenarbeiten","floor",161.29,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"198","134_00","3019","5300","Fenster / Glaserarbeiten","windows",2541.88,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"199","134_00","3019","5310","Elektroarbeiten","electrics",9570.94,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"200","134_00","3019","5330","Aufzüge","elevators",3552.25,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"201","134_00","3019","5340","Außenanlagen","outdoor facilities",687.5,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"202","134_00","3019","5350","Klingeln","doorbells",1996.24,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"203","134_00","3019","5360","Heizkörper / WMZ","heating elements",2616.56,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"204","134_00","3019","5370","Notöffnungen","emergency exit",71.11,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"205","134_00","3019","5390","Sperrmüll-Inst.","bulky waste",765.36,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"206","134_00","3019","5400","Lüftungsanlagen","ventilation plants",3649.28,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"207","134_00","3019","5410","Heizungsanlagen","heating system",2734.44,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"208","134_00","3019","5440","Kabel-TV","cable tv",396.82,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"209","134_00","3019","5450","Dachdecker","slater",855.08,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"210","134_00","3019","5480","Arbeitsmittel HM/Handw."," work equipment caretaker/builder",415.31,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"211","134_00","3019","5495","Vandalismus","vandalism",540.95,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"212","134_00","3019","5600","Nicht umlegb. HM-Kosten","not addable costs",1990.47,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"213","134_00","3019","5700","Capex Innen (Mod.innerh.d.Wohnung)","modernization apartment",8350.85,1726,60,1962,NA,"flat","multilayer glass","finery","oil central","residential",0
"214","138_00","3022","5201","Strom / Gas Leerstand","power/gas (vacancy)",494.01,502,10,1910,NA,"double pitch roof","timber","finery","gas central","residential",13
